章节,单词,解释
Chapter-1 ⾃然地理,atmosphere,"n. ⼤⽓层, ⼤⽓圈; ⽓氛"
Chapter-1 ⾃然地理,hydrosphere,n. ⽔圈; ⼤⽓中的⽔⽓;
Chapter-1 ⾃然地理,lithosphere,n. 岩⽯圈
Chapter-1 ⾃然地理,oxygen,n. 氧⽓
Chapter-1 ⾃然地理,oxide,n. 氧化物
Chapter-1 ⾃然地理,carbon dioxide,n. ⼆氧化碳
Chapter-1 ⾃然地理,hydrogen,n. 氢⽓
Chapter-1 ⾃然地理,core,"n. 中⼼, 核⼼; 地核"
Chapter-1 ⾃然地理,crust,n. 地壳; 外壳
Chapter-1 ⾃然地理,mantle,"n. 地幔; ⽃篷, 披⻛ v. 覆盖"
Chapter-1 ⾃然地理,longitude,n. 经度(竖的)
Chapter-1 ⾃然地理,latitude,n. 纬度(横的)
Chapter-1 ⾃然地理,horizon,"n. 地平线; [~s]眼界, ⻅识"
Chapter-1 ⾃然地理,altitude,"n. ⾼度, 海拔"
Chapter-1 ⾃然地理,disaster,n. 灾难
Chapter-1 ⾃然地理,mishap,n. ⼩灾难
Chapter-1 ⾃然地理,catastrophic,adj. 灾难性的
Chapter-1 ⾃然地理,calamity,"n. 灾难, 不幸的事"
Chapter-1 ⾃然地理,endanger,"v. 使遭受危险, 危及"
Chapter-1 ⾃然地理,jeopardise,"v. 危害, 危及"
Chapter-1 ⾃然地理,destructive,"adj. 破坏性的, 有害的"
Chapter-1 ⾃然地理,El Nino,n. 厄尔尼诺现象 (⾚道附近近东太平洋⽔域⼤范围海⽔反常增温、⻥群⼤量死亡的现象)
Chapter-1 ⾃然地理,greenhouse,"n. 温室, 暖房"
Chapter-1 ⾃然地理,phenomenon,n. 现象
Chapter-1 ⾃然地理,pebble,n. 鹅卵⽯
Chapter-1 ⾃然地理,magnet,"n. 磁铁, 吸铁⽯"
Chapter-1 ⾃然地理,ore,n. 矿⽯; 矿
Chapter-1 ⾃然地理,mineral,"n. 矿物, 矿物质; 矿产"
Chapter-1 ⾃然地理,marble,n. ⼤理⽯; (玩具)弹球
Chapter-1 ⾃然地理,quartz,n. ⽯英
Chapter-1 ⾃然地理,granite,n. 花岗岩
Chapter-1 ⾃然地理,gust,n. ⼀阵狂⻛; (感情的)迸发
Chapter-1 ⾃然地理,breeze,"n. 微⻛, 和⻛"
Chapter-1 ⾃然地理,monsoon,n. 季⻛; ⾬季
Chapter-1 ⾃然地理,gale,n. ⼤⻛
Chapter-1 ⾃然地理,hurricane,n. 飓⻛; 暴⻛
Chapter-1 ⾃然地理,tornado,n. ⻰卷⻛
Chapter-1 ⾃然地理,typhoon,n. 台⻛
Chapter-1 ⾃然地理,volcano,n. ⽕⼭
Chapter-1 ⾃然地理,erupt,"v. 爆发, 喷发; (斑疹等)突然出现"
Chapter-1 ⾃然地理,magma,n. 岩浆
Chapter-1 ⾃然地理,thermodynamic,adj. 热⼒的; 热⼒学的
Chapter-1 ⾃然地理,smog,"n. 烟雾, 雾霾"
Chapter-1 ⾃然地理,fume,"n. ~s烟, ⽓体 v. 冒烟, 发怒"
Chapter-1 ⾃然地理,mist,n. 薄雾; ⽔汽; 使视线模糊的东⻄
Chapter-1 ⾃然地理,tsunami,n. 海啸
Chapter-1 ⾃然地理,drought,"n. ⼲旱, 旱灾"
Chapter-1 ⾃然地理,flooding,n. 洪⽔泛滥
Chapter-1 ⾃然地理,torrent,"n. 激流, 洪流"
Chapter-1 ⾃然地理,earthquake,n. 地震
Chapter-1 ⾃然地理,seismic,"adj. 地震的, 地震引起的"
Chapter-1 ⾃然地理,avalanche,n. 雪崩
Chapter-1 ⾃然地理,terrain,n. 地形
Chapter-1 ⾃然地理,landscape,"n. ⻛景, 地貌 v. 对…进⾏景观美化"
Chapter-1 ⾃然地理,continent,n. ⼤陆; 洲
Chapter-1 ⾃然地理,cave,"n. 洞⽳, ⼭洞"
Chapter-1 ⾃然地理,cliff,"n. 悬崖, 峭壁"
Chapter-1 ⾃然地理,glacier,"n. 冰川, 冰河"
Chapter-1 ⾃然地理,swamp,"n. 沼泽, 湿地"
Chapter-1 ⾃然地理,delta,n. 三⻆洲
Chapter-1 ⾃然地理,plain,"n. 平原 adj. 简朴的, 明⽩的"
Chapter-1 ⾃然地理,plateau,n. ⾼原
Chapter-1 ⾃然地理,oasis,n. 绿洲; 宜⼈之地
Chapter-1 ⾃然地理,globe,n. 球体; 地球仪; [the ~]地球
Chapter-1 ⾃然地理,hemisphere,n. 半球
Chapter-1 ⾃然地理,equator,n. ⾚道
Chapter-1 ⾃然地理,arctic,"adj. 极冷的; [A~]北极的 n. [the A~]北极地区, 北极"
Chapter-1 ⾃然地理,Antarctic,"adj. 南极的 n. [the ~]南极地区, 南极洲"
Chapter-1 ⾃然地理,pole,n. (地)极; 截然相反的两极之⼀
Chapter-1 ⾃然地理,polar,"adj. 极地的, 近极地的; 对⽴的"
Chapter-1 ⾃然地理,axis,"n. 轴, 轴线"
Chapter-1 ⾃然地理,deteriorate,"v. 变坏, 恶化"
Chapter-1 ⾃然地理,aggravate,"v. 加重, 加剧, 使恶化"
Chapter-1 ⾃然地理,degrade,"v. 降解; 降低…的身份; 使恶化, 使退化"
Chapter-1 ⾃然地理,upgrade,"v. 使升级; 提⾼, 改善"
Chapter-1 ⾃然地理,erode,"v. 侵蚀, 腐蚀"
Chapter-1 ⾃然地理,Mediterranean,adj. 地中海的; 地中海地区的 n. 地中海; 地中海地区
Chapter-1 ⾃然地理,Atlantic,adj. ⼤⻄洋的 n. [the ~]⼤⻄洋
Chapter-1 ⾃然地理,pacific,"adj. 平静的, 和平的; [P~]太平洋的 n. [the ~]太平洋"
Chapter-1 ⾃然地理,ocean,n. 海洋; (五⼤洋之⼀的)洋
Chapter-1 ⾃然地理,marine,"adj. 海⽣的, 海洋的; 海事的 n. ⽔兵, 海军陆战队⼠兵"
Chapter-1 ⾃然地理,navigation,n. 航⾏; 航海
Chapter-1 ⾃然地理,gulf,n. 海湾
Chapter-1 ⾃然地理,beach,"n. 海滩, 河滩"
Chapter-1 ⾃然地理,coast,"n. 海岸, 海滨"
Chapter-1 ⾃然地理,shore,"n. (海、湖等⼤⽔域的)岸, 滨"
Chapter-1 ⾃然地理,tide,"n. 趋势, 潮流; 潮汐"
Chapter-1 ⾃然地理,current,adj. 当前的; 流通的 n. (河、湖或海的)⽔流; 电流; 趋向
Chapter-1 ⾃然地理,brook,"n. ⼩河, 溪"
Chapter-1 ⾃然地理,stream,"n. ⼩河, 溪; 流 v. 流动, 流出"
Chapter-1 ⾃然地理,source,n. 河的源头; 根源
Chapter-1 ⾃然地理,shallow,"adj. 浅的; 肤浅的, 浅薄的"
Chapter-1 ⾃然地理,superficial,"adj. 表⽪的, 表层的"
Chapter-1 ⾃然地理,flat,adj. 平坦的; 扁平的; 单调的
Chapter-1 ⾃然地理,smooth,adj. 光滑的; 平稳的; 流畅的
Chapter-1 ⾃然地理,rough,adj. 粗糙的; 粗略的
Chapter-1 ⾃然地理,sandy,adj. 铺满沙的; 含沙的
Chapter-1 ⾃然地理,stony,adj. 多⽯的; ⽯头的
Chapter-1 ⾃然地理,vertical,"adj. 垂直的, 直⽴的"
Chapter-1 ⾃然地理,steep,"adj. 陡峭的, 垂直的"
Chapter-1 ⾃然地理,parallel,n. 平⾏线; 相似之物; 相似之处 adj. 平⾏的 v. 与…相似; ⽐的上
Chapter-1 ⾃然地理,narrow,adj. 狭窄的; 有局限的 n. [~s]海峡 v. 变窄
Chapter-1 ⾃然地理,Oceania,n. ⼤洋洲
Chapter-1 ⾃然地理,mainland,"n. ⼤陆, 本⼟"
Chapter-1 ⾃然地理,peninsula,n. 半岛
Chapter-1 ⾃然地理,climate,"n. ⽓候; ⻛⽓, 思潮, 环境"
Chapter-1 ⾃然地理,weather,"n. 天⽓, ⽓象"
Chapter-1 ⾃然地理,meteorology,n. ⽓象学
Chapter-1 ⾃然地理,mild,adj. 温和的; 不严重的
Chapter-1 ⾃然地理,heating,n. 供暖; 暖⽓装置
Chapter-1 ⾃然地理,moderate,adj. 适度的; 温和的; 中等的 v. (使)缓和
Chapter-1 ⾃然地理,warm,adj. 温暖的 v. (使)变暖
Chapter-1 ⾃然地理,thermal,adj. 热量的
Chapter-1 ⾃然地理,tropics,n. [the ~]热带地区
Chapter-1 ⾃然地理,arid,"adj. ⼲燥的, ⼲旱的; 枯燥的"
Chapter-1 ⾃然地理,moist,"adj. 潮湿的, 湿润的"
Chapter-1 ⾃然地理,damp,"adj. 潮湿的, 湿⽓重的"
Chapter-1 ⾃然地理,humid,"adj. 潮湿的, 湿热的"
Chapter-1 ⾃然地理,snowy,"adj. 下雪多的, 被雪覆盖的"
Chapter-1 ⾃然地理,frost,n. 霜; 霜冻; 严寒
Chapter-1 ⾃然地理,hail,"n. 雹, 冰雹 v. 赞扬; 招呼; 下雹"
Chapter-1 ⾃然地理,thaw,"v. 解冻, 融解, 融化 n. 解冻时期"
Chapter-1 ⾃然地理,chill,n. 寒冷; 害怕 v. (使)变冷; 使恐惧
Chapter-1 ⾃然地理,freeze,v. 结冰 n. 霜冻; 严寒期
Chapter-1 ⾃然地理,frigid,adj. 寒冷的
Chapter-1 ⾃然地理,tremble,"v. n. 战栗, 颤抖"
Chapter-1 ⾃然地理,shiver,"v. 颤抖, 哆嗦, 发抖"
Chapter-1 ⾃然地理,thunder,n. 雷; 雷声 v. 打雷; 轰隆隆地快速移动
Chapter-1 ⾃然地理,lightning,"n. 闪电 adj. 闪电般的, 极快的"
Chapter-1 ⾃然地理,stormy,adj. 有暴⻛⾬的; 争吵激烈的; (⼤海)波涛汹涌的
Chapter-1 ⾃然地理,downpour,n. 倾盆⼤⾬
Chapter-1 ⾃然地理,rainfall,n. 降⾬量
Chapter-1 ⾃然地理,sprinkle,"v. 撒, 洒; 下⼩⾬ n. 少量; ⼩⾬"
Chapter-1 ⾃然地理,rainbow,n. 彩虹
Chapter-1 ⾃然地理,shower,n. 阵⾬; (⼀)阵; 淋浴
Chapter-1 ⾃然地理,Celsius,adj. 摄⽒的 n. 摄⽒温度
Chapter-1 ⾃然地理,temperature,n. ⽓温; 体温; 温度
Chapter-1 ⾃然地理,forecast,"n. 预测, 预报 v. 预测; 预⾔"
Chapter-1 ⾃然地理,peak,n. ⼭峰; 顶点 v. 达到最⼤值
Chapter-1 ⾃然地理,mount,"v. 爬上, 登上; 攀登; 渐渐增加 n. [M~]⼭"
Chapter-1 ⾃然地理,mountain,"n. ⼭, ⼭岳, ⾼⼭"
Chapter-1 ⾃然地理,range,n. ⼭脉; 范围
Chapter-1 ⾃然地理,ridge,"n. ⼭脊, ⼭脉 v. 使隆起"
Chapter-1 ⾃然地理,slope,n. ⼭坡; 斜坡 v. 倾斜; 有坡度
Chapter-1 ⾃然地理,valley,"n. ⼭⾕, 溪⾕"
Chapter-1 ⾃然地理,hillside,"n. (⼩⼭的)⼭腰, ⼭坡"
Chapter-1 ⾃然地理,overlook,"v. 俯瞰, 远眺; 未注意到的"
Chapter-1 ⾃然地理,southern,adj. 南部的; 南⽅的
Chapter-1 ⾃然地理,southeast,n. 东南⽅; 东南部 adj. 东南⽅的; 东南部的
Chapter-1 ⾃然地理,southwest,n. ⻄南⽅; ⻄南部 adj. ⻄南⽅的; ⻄南部的
Chapter-1 ⾃然地理,northeast,n. 东北的; 东北部 adj. 东北⽅的; 东北部的
Chapter-1 ⾃然地理,northwest,n. ⻄北⽅; ⻄北部 adj. ⻄北⽅的; ⻄北部的
Chapter-1 ⾃然地理,eastern,adj. 东部的; 东⽅的
Chapter-1 ⾃然地理,oriental,adj. 东⽅的(尤指中国和⽇本的)
Chapter-1 ⾃然地理,inevitable,"adj. 必然的, 不可避免的"
Chapter-1 ⾃然地理,irreversible,adj. 不可逆转的; 不可挽回的
Chapter-1 ⾃然地理,irregularly,adv. 不规则地; 不合常规地
Chapter-1 ⾃然地理,inappropriate,adj. 不合适的
Chapter-1 ⾃然地理,abnormal,"adj. 不正常的, 反常的, 变态的"
Chapter-1 ⾃然地理,sediment,n. 沉淀物; 沉积物
Chapter-1 ⾃然地理,silt,"n. 淤泥, 泥沙 v. (使)淤塞"
Chapter-1 ⾃然地理,muddy,adj. 泥泞的; 浑浊的
Chapter-1 ⾃然地理,clay,"n. 黏⼟, 陶⼟"
Chapter-1 ⾃然地理,dirt,"n. 污垢, 灰尘; 泥⼟"
Chapter-1 ⾃然地理,rural,"adj. 农村的, 乡村的; ⽥园的"
Chapter-1 ⾃然地理,suburb,"n. 郊区, 郊外, 近郊"
Chapter-1 ⾃然地理,outskirts,"n. 郊区, 市郊"
Chapter-1 ⾃然地理,remote,adj. 遥远的; 偏僻的; 疏远的
Chapter-1 ⾃然地理,desolate,adj. 荒凉的
Chapter-1 ⾃然地理,distant,adj. 疏远的; 遥远的
Chapter-1 ⾃然地理,adjacent,"adj. 邻近的, 毗连的"
Chapter-1 ⾃然地理,toxic,adj. 有毒的
Chapter-1 ⾃然地理,pollution,n. 污染
Chapter-1 ⾃然地理,pollutant,n. 污染物质
Chapter-1 ⾃然地理,contaminate,"v. 污染, 弄脏"
Chapter-1 ⾃然地理,geology,n. 地质学; 地质状况
Chapter-1 ⾃然地理,border,n. 边界; 边界地区; 镶边 v. 和…毗邻; 形成…边界
Chapter-1 ⾃然地理,margin,n. 边缘; ⻚⾯空⽩; 余地
Chapter-1 ⾃然地理,fringe,n. 边缘; 刘海⼉ adj. 次要的; ⾮主流的
Chapter-1 ⾃然地理,plate,n. 盘⼦; (地质学中的⼤陆)板块
Chapter-1 ⾃然地理,debris,"n. 碎⽚, 残骸"
Chapter-1 ⾃然地理,crack,v. 破裂; 发出爆裂声 n. 裂缝; 缝隙
Chapter-1 ⾃然地理,gap,"n. 缺⼝, 裂缝; 差距; 空⽩"
Chapter-1 ⾃然地理,splendid,adj. 极好的; 壮观的
Chapter-1 ⾃然地理,grand,adj. 宏⼤的; 豪华的; 宏伟的; 极好的
Chapter-1 ⾃然地理,magnificent,"adj. 壮丽的, 宏伟的, 令⼈印象深刻的"
Chapter-1 ⾃然地理,super,"adj. 超级的, 极好的"
Chapter-1 ⾃然地理,interesting,adj. 有趣的; 引⼈⼊胜的
Chapter-1 ⾃然地理,dramatic,adj. 戏剧的; 引⼈注⽬的
Chapter-1 ⾃然地理,wilderness,n. 荒野
Chapter-1 ⾃然地理,desert,n. 沙漠
Chapter-1 ⾃然地理,deforest,v. 毁掉…森林
Chapter-1 ⾃然地理,barren,"adj. 贫瘠的, 荒芜的; 不结果实的"
Chapter-1 ⾃然地理,fertile,"adj. 肥沃的, 富饶的"
Chapter-1 ⾃然地理,fertilise,v. 施肥于
Chapter-1 ⾃然地理,solar,"adj. 太阳的, ⽇光的"
Chapter-1 ⾃然地理,lunar,"adj. ⽉亮的, ⽉球的"
Chapter-1 ⾃然地理,calendar,n. ⽇历; 历法
Chapter-1 ⾃然地理,sunrise,n. ⽇出
Chapter-1 ⾃然地理,sunset,n. ⽇落
Chapter-1 ⾃然地理,eclipse,n. ⽇⻝; ⽉⻝
Chapter-1 ⾃然地理,dusk,"n. ⻩昏, 傍晚"
Chapter-1 ⾃然地理,heaven,n. 天堂; 极乐(之地); [the ~s]天空
Chapter-1 ⾃然地理,paradise,"n. 天堂; 乐园, 福地"
Chapter-1 ⾃然地理,sunshine,"n. 阳光, ⽇光"
Chapter-1 ⾃然地理,shade,n. 阴影部分; 背阴处 v. 给…遮挡(光线)
Chapter-1 ⾃然地理,shadow,"n. 影⼦, 阴影"
Chapter-1 ⾃然地理,vapour,n. 蒸汽; ⽔汽
Chapter-1 ⾃然地理,evaporate,v. (使)蒸发; 消失
Chapter-1 ⾃然地理,circulate,"v. (使)循环, (使)流通; (信息等)传播"
Chapter-1 ⾃然地理,precipitate,v. (⽔汽等)凝结; 沉淀
Chapter-1 ⾃然地理,reservoir,"n. ⽔库, 蓄⽔池"
Chapter-1 ⾃然地理,waterfall,n. 瀑布
Chapter-1 ⾃然地理,fountain,n. 喷泉; 源泉
Chapter-1 ⾃然地理,spring,n. 春天; 泉⽔; 弹簧
Chapter-1 ⾃然地理,dew,n. 露⽔
Chapter-1 ⾃然地理,pour,v. 倾泻; 倒; (⾬)倾盆⽽下
Chapter-1 ⾃然地理,drain,v. 排空; 流出 n. 耗竭
Chapter-1 ⾃然地理,drip,"v. 滴出; 滴下 n. ⽔滴, 滴液"
Chapter-1 ⾃然地理,drown,v. 淹死; 浸泡
Chapter-1 ⾃然地理,blow,"v. 吹; (⻛吹); 吹动 n. ⽤⼒的⼀击; 打击, 挫折"
Chapter-1 ⾃然地理,puff,"v. 喷出; 喘息 n. (吹出的)⼀股, ⼀缕"
Chapter-1 ⾃然地理,gush,v. n. 涌出
Chapter-1 ⾃然地理,dense,adj. 密集的; 稠密的
Chapter-1 ⾃然地理,intensity,n. 强度; 强烈
Chapter-1 ⾃然地理,intensive,"adj. 加强的, 集中的, 密集的"
Chapter-1 ⾃然地理,emerge,"v. 浮现, 露出; 摆脱出来; 暴露"
Chapter-1 ⾃然地理,flash,v. (使)闪光; (使)闪现; 快速发送 n. 闪光(灯); 闪现
Chapter-1 ⾃然地理,float,v. 飘浮; 漂浮
Chapter-1 ⾃然地理,environment,"n. ⾃然环境; 环境, 周围状况"
Chapter-1 ⾃然地理,surrounding,"adj. 周围的, 附近的"
Chapter-1 ⾃然地理,condition,"n. 条件; 情况, 状态"
Chapter-2 植物研究,situation,"n. 情况, 处境, 形势"
Chapter-2 植物研究,nature,n. ⼤⾃然; 本性; 性质
Chapter-2 植物研究,natural,adj. ⾃然的; 天然的
Chapter-2 植物研究,artificial,adj. ⼈造的
Chapter-2 植物研究,synthetic,"adj. ⼈造的, 合成的 n. [~s]合成物"
Chapter-2 植物研究,petrol,n. [英]汽油
Chapter-2 植物研究,gas,n. ⽓体; [美]汽油
Chapter-2 植物研究,gasoline,n. [美]汽油
Chapter-2 植物研究,petroleum,n. ⽯油
Chapter-2 植物研究,photosynthesis,n. 光合作⽤
Chapter-2 植物研究,respire,v. 呼吸
Chapter-2 植物研究,dioxide,n. ⼆氧化物
Chapter-2 植物研究,vegetation,"n. 植物, 草⽊"
Chapter-2 植物研究,herb,n. 药草; ⾹草
Chapter-2 植物研究,perennial,"n. 多年⽣植物 adj. ⻓期的, 持久的"
Chapter-2 植物研究,botany,n. 植物学
Chapter-2 植物研究,ecology,n. ⽣态学; ⽣态
Chapter-2 植物研究,ecosystem,n. ⽣态系统
Chapter-2 植物研究,eco-friendly,"adj. 对⽣态环境友好的, 不防害⽣态环境的"
Chapter-2 植物研究,horticulture,n. 园艺学; 园艺
Chapter-2 植物研究,organism,"n. 有机体, ⽣物"
Chapter-2 植物研究,genetics,n. 遗传学
Chapter-2 植物研究,mutation,"n. 变异, 突变"
Chapter-2 植物研究,variation,n. 变种; 变异
Chapter-2 植物研究,diversity,"n. 多样性, 多元性"
Chapter-2 植物研究,hybridisation,n. 杂交
Chapter-2 植物研究,classify,v. 分类
Chapter-2 植物研究,reproduce,v. 繁殖
Chapter-2 植物研究,evolve,v. 进化; (使)逐渐形成/演化; (使)发展
Chapter-2 植物研究,fluctuate,"v. 波动, 起伏"
Chapter-2 植物研究,reclaim,"v. 开垦, 开拓, 利⽤"
Chapter-2 植物研究,cultivate,"v. 耕作, 种植; 培养"
Chapter-2 植物研究,sow,v. 播种
Chapter-2 植物研究,harvest,v. 收割 n. 收获; 收成
Chapter-2 植物研究,pluck,v. 拾; 摘
Chapter-2 植物研究,pick,v. 拾; 摘
Chapter-2 植物研究,yield,"n. 产量; 投资收益 v. 出产; 屈服, 服从"
Chapter-2 植物研究,rear,"v. 培养, 抚养; 饲养 n. 后部"
Chapter-2 植物研究,arable,adj. 适于耕种的
Chapter-2 植物研究,plough,n. 犁 v. 耕(地)
Chapter-2 植物研究,spade,"n. 铁锹, 铲⼦;"
Chapter-2 植物研究,rake,n. 耙⼦ v. 耙; 搜索
Chapter-2 植物研究,stack,"n. 堆, 垛 v. 堆积"
Chapter-2 植物研究,heap,n. (⼤⽽杂乱的)堆
Chapter-2 植物研究,bundle,"n. 捆, 包, 束"
Chapter-2 植物研究,bunch,"n. ⼀束(花), ⼀串(钥匙)"
Chapter-2 植物研究,vase,"n. 花瓶, 瓶"
Chapter-2 植物研究,sunlight,n. 阳光
Chapter-2 植物研究,short-day,adj. 短⽇照的
Chapter-2 植物研究,shade-tolerant,adj. 耐阴的
Chapter-2 植物研究,fungus,n. 真菌
Chapter-2 植物研究,mould,n. 霉菌 v. 发霉
Chapter-2 植物研究,pollen,n. 花粉 v. 给…授粉
Chapter-2 植物研究,germinate,v. 发芽; 开始⽣⻓
Chapter-2 植物研究,seed,"n. 种⼦, 籽; 萌芽"
Chapter-2 植物研究,burgeon,"n. 嫩枝, 新芽 v. 急速增⻓; 发芽, 抽枝"
Chapter-2 植物研究,bud,"n. 芽, 苞, 蓓蕾"
Chapter-2 植物研究,flower,n. 花朵 v. 开花
Chapter-2 植物研究,blossom,n. 花朵 v. 开花
Chapter-2 植物研究,bloom,n. 花朵 v. 开花
Chapter-2 植物研究,scent,n. ⽓味; ⾹味 v. 使具有⾹味
Chapter-2 植物研究,aromatic,adj. 芳⾹的
Chapter-2 植物研究,ripen,v. (使)成熟
Chapter-2 植物研究,fruit,v. 结果实 n. 成果; ⽔果; 果实
Chapter-2 植物研究,wither,v. 枯萎
Chapter-2 植物研究,decompose,v. 分解; 腐烂
Chapter-2 植物研究,rot,"v. 腐烂, 腐坏 n. 腐烂"
Chapter-2 植物研究,decay,v. 腐烂
Chapter-2 植物研究,stale,"adj. 不新鲜的; 没有新意的, 陈腐的"
Chapter-2 植物研究,rainforest,n. ⾬林
Chapter-2 植物研究,jungle,"n. (热带)丛林, 密林"
Chapter-2 植物研究,plantation,n. 种植园; 栽植
Chapter-2 植物研究,field,n. 原野; 场地; 野外; ⽥地
Chapter-2 植物研究,terrace,n. 梯⽥; 台阶; 阳台
Chapter-2 植物研究,timber,"n. ⽊材, ⽊料; 林⽊"
Chapter-2 植物研究,charcoal,n. ⽊炭
Chapter-2 植物研究,log,n. 原⽊; ⽇志
Chapter-2 植物研究,logo,"n. 标识, 标志, 徽标"
Chapter-2 植物研究,forestry,n. 林学; 林业
Chapter-2 植物研究,branch,n. 树枝; 分⽀机构; 分店
Chapter-2 植物研究,trunk,n. 树⼲; 躯⼲; ⼤箱⼦
Chapter-2 植物研究,bough,n. ⼤树枝
Chapter-2 植物研究,root,n. 根 v. ⽣根
Chapter-2 植物研究,hay,n. ⼲草
Chapter-2 植物研究,straw,"n. 稻草, ⻨秆; 吸管"
Chapter-2 植物研究,reed,n. 芦苇
Chapter-2 植物研究,thorn,"n. 刺; 棘刺, 荆棘; 带刺的植物; 刺痛;"
Chapter-2 植物研究,weed,n. 杂草; ⽔草; 烟草; v. 给…除杂草;
Chapter-2 植物研究,grass,n. 草; 草地
Chapter-2 植物研究,meadow,n. 草地; 牧场;
Chapter-2 植物研究,lawn,"n. 草地, 草坪;"
Chapter-2 植物研究,olive,n. 橄榄; 橄榄树;
Chapter-2 植物研究,pine,n. 松树; 松⽊;
Chapter-2 植物研究,vine,n. 葡萄藤; 葡萄树
Chapter-2 植物研究,violet,n. 堇菜; 紫罗兰; 紫罗兰⾊;
Chapter-2 植物研究,tulip,n. 郁⾦⾹
Chapter-2 植物研究,mint,n. 薄荷; 薄荷糖; 铸币⼚; v. 铸造(硬币)
Chapter-2 植物研究,reef,"n. 礁, 暗礁;"
Chapter-2 植物研究,alga,n. 海藻; ⽔藻
Chapter-2 植物研究,enzyme,n. 酶;
Chapter-2 植物研究,catalyst,n. 催化剂; 触发因素; 促进因素;
Chapter-2 植物研究,release,v. n. 释放; 发布
Chapter-2 植物研究,emission,"n. 排放, 散发; 排放物, 散发物"
Chapter-2 植物研究,absorb,v. 吸收; 吸引全部注意⼒
Chapter-2 植物研究,circulation,n. 流通; 循环; 流传
Chapter-2 植物研究,exceed,v. 超过; 超越;
Chapter-3 动物保护,uptake,v. 摄⼊; 领会
Chapter-3 动物保护,nutrient,n. 营养物质
Chapter-3 动物保护,energy,n. 精⼒; 能量; 能源
Chapter-3 动物保护,surroundings,n. (周围的)环境
Chapter-3 动物保护,mechanism,n. 构造; 机制
Chapter-3 动物保护,counterbalance,n. 起平衡作⽤的事物; 抗衡⼒ v. 抵消; 对…起平衡作⽤
Chapter-3 动物保护,protect,v. 保护
Chapter-3 动物保护,preserve,v. 保护; 维持(原状); 保存
Chapter-3 动物保护,conservation,n. (对⾃然环境的)保护; 保存
Chapter-3 动物保护,bush fire,n. 林区⼤⽕
Chapter-3 动物保护,extinguish,"v. 熄灭, 扑灭; 使破灭;"
Chapter-3 动物保护,destruct,v. ⾃毁; 破坏
Chapter-3 动物保护,ruin,v. 毁坏; 破坏; 使破产; n. 毁坏; 破产; 祸根; 废墟
Chapter-3 动物保护,perish,"v. 毁灭, 消亡; 腐烂"
Chapter-3 动物保护,demolish,"v. 拆除; 毁坏, 破坏; 推翻"
Chapter-3 动物保护,infringe,v. 侵犯; 违反
Chapter-3 动物保护,undermine,v. 破坏; 逐渐削弱
Chapter-3 动物保护,extinction,"n. 灭绝, 消亡"
Chapter-3 动物保护,pattern,n. 模式; 式样; 底样; 图案
Chapter-3 动物保护,outcome,n. 结果
