序号,单词,音标,词性,中文释义,学段分类,场景归属
1,aboard,-,adv.,在（船、飞机等）上,中考考纲词汇,06_交通出行与地理旅游
2,abroad,-,adv.,到国外；在国外；广为流传,中考考纲词汇,09_核心行为与动作动词
3,absent,-,adj.,缺席的；不在场的；心不在焉的,中考考纲词汇,10_情感态度与性质修饰
4,absorb,-,v.,吸收；理解；掌握,中考考纲词汇,02_学校教育与学科学习
5,accent,-,n.,重音；口音；读音符号,中考考纲词汇,03_饮食烹饪与健康医疗
6,access,-,n.,通路；查阅（或使用、接近）的机会（或权利）,中考考纲词汇,08_职业工作与社会科技
7,accident,-,n.,事故；意外；偶然事件,中考考纲词汇,08_职业工作与社会科技
8,accompany,-,v.,陪伴；伴随,中考考纲词汇,09_核心行为与动作动词
9,account,-,n.,账户；解释,中考考纲词汇,08_职业工作与社会科技
10,accredit,-,v.,把...归于；委任,中考考纲词汇,09_核心行为与动作动词
11,accurate,-,adj.,准确的；正确无误的,中考考纲词汇,10_情感态度与性质修饰
12,accuse,-,v.,控告；指责,中考考纲词汇,09_核心行为与动作动词
13,accustom,-,v.,使习惯于,中考考纲词汇,09_核心行为与动作动词
14,achieve,-,v.,实现；到达,中考考纲词汇,09_核心行为与动作动词
15,acoustic,-,adj.,听觉的；声音的,中考考纲词汇,10_情感态度与性质修饰
16,act,-,v./n.,行动/行为,中考考纲词汇,09_核心行为与动作动词
17,actress,-,n.,女演员,中考考纲词汇,04_文体娱乐与节庆风俗
18,acupuncture,-,n.,针灸,中考考纲词汇,03_饮食烹饪与健康医疗
19,add,-,v.,添加；附加,中考考纲词汇,09_核心行为与动作动词
20,adequate,-,adj.,足够的；合格的,中考考纲词汇,03_饮食烹饪与健康医疗
21,adjective,-,n.,形容词,中考考纲词汇,08_职业工作与社会科技
22,adjust,-,v.,调节；改变（行为或观点）以适应,中考考纲词汇,04_文体娱乐与节庆风俗
23,administration,-,n.,管理；行政,中考考纲词汇,08_职业工作与社会科技
24,admire,-,v.,赞美；钦佩；仰慕,中考考纲词汇,09_核心行为与动作动词
25,admission,-,n.,承认；入场费；准许入场,中考考纲词汇,08_职业工作与社会科技
26,admit,-,v.,供认，承认,中考考纲词汇,09_核心行为与动作动词
27,adolescence,-,n.,青春期,中考考纲词汇,07_自然生态与天气动植物
28,adopt,-,v.,收养；采取；采纳,中考考纲词汇,09_核心行为与动作动词
29,adorn,-,v.,装饰；装扮,中考考纲词汇,09_核心行为与动作动词
30,advance,-,n./v.,发展；前进,中考考纲词汇,06_交通出行与地理旅游
31,adventure,-,n./v.,冒险，冒险尽量/去（某地）探险,中考考纲词汇,06_交通出行与地理旅游
32,adverb,-,n.,副词,中考考纲词汇,08_职业工作与社会科技
33,adverse,-,adj.,敌对的；不友好的；不利的,中考考纲词汇,01_个人家庭与人际交往
34,adversity,-,n.,逆境,中考考纲词汇,08_职业工作与社会科技
35,advertise,-,v.,做广告,中考考纲词汇,09_核心行为与动作动词
36,advise,-,v.,劝告；建议；通知,中考考纲词汇,08_职业工作与社会科技
37,affair,-,n.,事件；公共事件,中考考纲词汇,08_职业工作与社会科技
38,affect,-,v.,影响；打动；使悲伤,中考考纲词汇,03_饮食烹饪与健康医疗
39,affection,-,n.,喜爱，喜欢；[~s]爱情,中考考纲词汇,08_职业工作与社会科技
40,affirm,-,v.,断言，坚持声称，证实,中考考纲词汇,09_核心行为与动作动词
41,affluent,-,adj.,富裕的；富足的,中考考纲词汇,03_饮食烹饪与健康医疗
42,afford,-,v.,负担得起；提供；给予,中考考纲词汇,09_核心行为与动作动词
43,african,-,adj./n.,非洲的/非洲人,中考考纲词汇,06_交通出行与地理旅游
44,agent,-,n.,代理人，代理商,中考考纲词汇,01_个人家庭与人际交往
45,aggravate,-,v.,加重；加剧；使恶化,中考考纲词汇,09_核心行为与动作动词
46,agony,-,n.,极度的痛苦；挣扎,中考考纲词汇,03_饮食烹饪与健康医疗
47,agreeable,-,adj.,使人愉快的；（欣然）同意的,中考考纲词汇,01_个人家庭与人际交往
48,agreement,-,n.,同意；协定,中考考纲词汇,08_职业工作与社会科技
49,aid,-,n.,救助；救援物资；辅助物,中考考纲词汇,08_职业工作与社会科技
50,airline,-,n.,航空公司,中考考纲词汇,08_职业工作与社会科技
51,airplane,-,n.,飞机,中考考纲词汇,06_交通出行与地理旅游
52,airtight,-,adj.,密封的；不透气的,中考考纲词汇,10_情感态度与性质修饰
53,aisle,-,n.,走廊、过道,中考考纲词汇,05_居家生活与服装购物
54,alarm,-,n.,惊恐；犹豫；报警；报警器,中考考纲词汇,08_职业工作与社会科技
55,alcohol,-,n.,酒精、乙醇、酒,中考考纲词汇,08_职业工作与社会科技
56,algebra,-,n.,代数,中考考纲词汇,08_职业工作与社会科技
57,alien,-,n./adj.,外侨；外星人；外国的；陌生的,中考考纲词汇,01_个人家庭与人际交往
58,all-round,-,adj.,有多方面才能的；全面的,中考考纲词汇,10_情感态度与性质修饰
59,allergy,-,n.,敏感症；过敏性,中考考纲词汇,08_职业工作与社会科技
60,alleviate,-,n.,减轻（痛苦等）；缓解,中考考纲词汇,03_饮食烹饪与健康医疗
61,allow,-,v.,允许；准许,中考考纲词汇,09_核心行为与动作动词
62,allure,-,v.,吸引，引诱,中考考纲词汇,09_核心行为与动作动词
63,alphabet,-,n.,字母表；（一种语言的）全部字母,中考考纲词汇,08_职业工作与社会科技
64,alter,-,v.,变更；改变,中考考纲词汇,09_核心行为与动作动词
65,alternate,-,v.,（使）交替；（使）轮流,中考考纲词汇,09_核心行为与动作动词
66,alumni,-,n.,[alumnus 的复数形式]毕业生；校友,中考考纲词汇,02_学校教育与学科学习
67,amaze,-,v.,使惊奇，使惊愕,中考考纲词汇,09_核心行为与动作动词
68,amazing,-,adj.,令人惊叹的；惊人的,中考考纲词汇,01_个人家庭与人际交往
69,ambassador,-,n.,大使,中考考纲词汇,08_职业工作与社会科技
70,ambition,-,n.,雄心；抱负,中考考纲词汇,08_职业工作与社会科技
71,ambulance,-,n.,救护车,中考考纲词汇,08_职业工作与社会科技
72,amphibian,-,n./adj.,两栖动物/两栖的,中考考纲词汇,07_自然生态与天气动植物
73,amuse,-,v.,逗乐；给...提供娱乐,中考考纲词汇,09_核心行为与动作动词
74,analyse,-,v.,分析,中考考纲词汇,05_居家生活与服装购物
75,anecdote,-,n.,轶事；奇闻,中考考纲词汇,08_职业工作与社会科技
76,anger,-,n./v.,怒；怒气/使发怒,中考考纲词汇,09_核心行为与动作动词
77,angle,-,n.,角度；脚,中考考纲词汇,03_饮食烹饪与健康医疗
78,ankle,-,n.,踝关节,中考考纲词汇,04_文体娱乐与节庆风俗
79,announce,-,v.,宣布，通知,中考考纲词汇,08_职业工作与社会科技
80,announcer,-,n.,广播员；播音员,中考考纲词汇,08_职业工作与社会科技
81,annoy,-,v.,使恼怒；打扰,中考考纲词汇,09_核心行为与动作动词
82,annual,-,adj./n.,每年的；一年的/年报,中考考纲词汇,10_情感态度与性质修饰
83,antique,-,n./adj.,古董；古董的,中考考纲词汇,10_情感态度与性质修饰
84,antonym,-,n.,反义词,中考考纲词汇,08_职业工作与社会科技
85,anxiety,-,n.,焦虑；担心；渴望,中考考纲词汇,03_饮食烹饪与健康医疗
86,apartment,-,n.,公寓,中考考纲词汇,05_居家生活与服装购物
87,apathetic,-,adj.,无动于衷的；漠不关心的,中考考纲词汇,10_情感态度与性质修饰
88,apologize,-,v.,道歉；赔罪,中考考纲词汇,09_核心行为与动作动词
89,apology,-,n.,道歉；辩解,中考考纲词汇,08_职业工作与社会科技
90,appearance,-,n.,外貌；出现,中考考纲词汇,01_个人家庭与人际交往
91,appetiser,-,n.,开胃饮料、开胃小菜,中考考纲词汇,03_饮食烹饪与健康医疗
92,appetite,-,n.,食欲；强烈欲望,中考考纲词汇,08_职业工作与社会科技
93,apply,-,v.,应用；适用,中考考纲词汇,09_核心行为与动作动词
94,approximately,-,adv.,大约,中考考纲词汇,09_核心行为与动作动词
95,aptitude,-,n.,天生的才能；资质,中考考纲词汇,08_职业工作与社会科技
96,arabian,-,adj.,阿拉伯的,中考考纲词汇,10_情感态度与性质修饰
97,arable,-,adj.,适合耕种的,中考考纲词汇,10_情感态度与性质修饰
98,arch,-,n./v.,拱门/（使）弯成弓形,中考考纲词汇,05_居家生活与服装购物
99,arduous,-,adj.,辛勤的；费力的；陡峭的,中考考纲词汇,10_情感态度与性质修饰
100,arena,-,n.,竞技场、运动场；舞台、活动领域,中考考纲词汇,04_文体娱乐与节庆风俗
101,argument,-,n.,辩论，争论；论点，论据,中考考纲词汇,08_职业工作与社会科技
102,aromatic,-,adj.,芳香的,中考考纲词汇,10_情感态度与性质修饰
103,arrange,-,v.,安排，整理，使有条理,中考考纲词汇,05_居家生活与服装购物
104,arrest,-,v./n.,逮捕；吸引（注意）/逮捕,中考考纲词汇,09_核心行为与动作动词
105,arrive,-,v.,到达；取得成功,中考考纲词汇,09_核心行为与动作动词
106,arrow,-,n.,箭头，箭,中考考纲词汇,03_饮食烹饪与健康医疗
107,arthritis,-,n.,关节炎,中考考纲词汇,04_文体娱乐与节庆风俗
108,article,-,n.,文章,中考考纲词汇,08_职业工作与社会科技
109,artist,-,n.,艺术家,中考考纲词汇,02_学校教育与学科学习
110,ash,-,n.,灰烬,中考考纲词汇,08_职业工作与社会科技
111,ashamed,-,adj.,惭愧的；感到难为情的,中考考纲词汇,10_情感态度与性质修饰
112,asleep,-,adj.,睡着的；不活跃的；麻木的,中考考纲词汇,10_情感态度与性质修饰
113,assist,-,v.,帮助；协助,中考考纲词汇,09_核心行为与动作动词
114,assistant,-,n.,助理；助手,中考考纲词汇,03_饮食烹饪与健康医疗
115,assort,-,v.,把...分类；相配，协调,中考考纲词汇,05_居家生活与服装购物
116,assure,-,v.,向...保证；保证；保险,中考考纲词汇,08_职业工作与社会科技
117,astound,-,v.,使大吃一惊；使惊骇,中考考纲词汇,09_核心行为与动作动词
118,astrology,-,n.,占星术；占星学,中考考纲词汇,08_职业工作与社会科技
119,asylum,-,n.,庇护；精神病院,中考考纲词汇,03_饮食烹饪与健康医疗
120,atlantic,-,n.,大西洋,中考考纲词汇,06_交通出行与地理旅游
121,atlas,-,n.,地图册；地图集,中考考纲词汇,08_职业工作与社会科技
122,attack,-,v./n.,攻击；进攻,中考考纲词汇,09_核心行为与动作动词
123,attract,-,v.,吸引；引起,中考考纲词汇,09_核心行为与动作动词
124,attraction,-,n.,吸引；具有吸引力的事物,中考考纲词汇,08_职业工作与社会科技
125,audio,-,adj.,声音的,中考考纲词汇,10_情感态度与性质修饰
126,audit,-,n./v.,审计。旁听；审计,中考考纲词汇,08_职业工作与社会科技
127,augment,-,v.,扩大；增加；加强；提高,中考考纲词汇,09_核心行为与动作动词
128,aural,-,adj.,耳的；听觉的；气味的；先兆的,中考考纲词汇,03_饮食烹饪与健康医疗
129,australia,-,n.,澳大利亚,中考考纲词汇,08_职业工作与社会科技
130,author,-,n.,作者；作家,中考考纲词汇,02_学校教育与学科学习
131,auto,-,n.,汽车,中考考纲词汇,06_交通出行与地理旅游
132,auxiliary,-,adj.,辅助的；协助的；备用的,中考考纲词汇,10_情感态度与性质修饰
133,available,-,adj.,可获得的,中考考纲词汇,10_情感态度与性质修饰
134,avalanche,-,n.,雪崩,中考考纲词汇,07_自然生态与天气动植物
135,avoid,-,v.,避免；躲开,中考考纲词汇,09_核心行为与动作动词
136,await,-,v.,等候；期待；将降临到...身上,中考考纲词汇,09_核心行为与动作动词
137,awake,-,adj.,醒着的；警觉的；,中考考纲词汇,10_情感态度与性质修饰
138,award,-,n.,奖；奖品,中考考纲词汇,08_职业工作与社会科技
139,awesome,-,adj.,卓越的；引起敬畏的,中考考纲词汇,10_情感态度与性质修饰
140,awful,-,adj.,令人不愉快的；极讨厌的,中考考纲词汇,01_个人家庭与人际交往
141,ax,-,n.,斧头,中考考纲词汇,03_饮食烹饪与健康医疗
142,backbone,-,n.,脊柱；骨干；中坚；骨气,中考考纲词汇,03_饮食烹饪与健康医疗
143,background,-,n.,背景；（个人出身、受教育）经历,中考考纲词汇,03_饮食烹饪与健康医疗
144,backup,-,n./adj.,后援；支持（文件等的）备份/备用的,中考考纲词汇,06_交通出行与地理旅游
145,badge,-,n.,徽章；证章；标志；象征,中考考纲词汇,06_交通出行与地理旅游
146,badminton,-,n.,羽毛球,中考考纲词汇,04_文体娱乐与节庆风俗
147,bait,-,v./n.,使上当发火/诱饵，诱惑物,中考考纲词汇,09_核心行为与动作动词
148,bake,-,v.,烘烤、烤熟,中考考纲词汇,09_核心行为与动作动词
149,band,-,n.,乐队；带；波段,中考考纲词汇,04_文体娱乐与节庆风俗
150,banner,-,n.,横幅、标语,中考考纲词汇,08_职业工作与社会科技
151,banquet,-,n.,宴会,中考考纲词汇,04_文体娱乐与节庆风俗
152,baptize,-,v.,给...施行洗礼,中考考纲词汇,09_核心行为与动作动词
153,bar,-,n.,酒吧、吧台,中考考纲词汇,08_职业工作与社会科技
154,barbecue,-,n./v.,烧烤野餐、烤架/烧烤,中考考纲词汇,03_饮食烹饪与健康医疗
155,barn,-,n.,谷仓；牲口棚,中考考纲词汇,03_饮食烹饪与健康医疗
156,barren,-,adj.,贫瘠的；荒芜的；不结果实的,中考考纲词汇,10_情感态度与性质修饰
157,basic,-,adj.,基本的；基础的,中考考纲词汇,10_情感态度与性质修饰
158,bat,-,n.,球拍；球棒；球板,中考考纲词汇,04_文体娱乐与节庆风俗
159,bath,-,n.,洗澡；[英]浴缸,中考考纲词汇,08_职业工作与社会科技
160,battle,-,n./v.,战斗，战役/与...战斗,中考考纲词汇,08_职业工作与社会科技
161,beach,-,n.,海滩；河滩,中考考纲词汇,06_交通出行与地理旅游
162,bead,-,n./v.,珠子，（液体的）小滴；形成珠状,中考考纲词汇,09_核心行为与动作动词
163,beak,-,n.,鸟嘴；喙,中考考纲词汇,03_饮食烹饪与健康医疗
164,bear,-,v.,生（孩子）；容忍；承担（责任）,中考考纲词汇,09_核心行为与动作动词
165,beard,-,n.,胡须,中考考纲词汇,08_职业工作与社会科技
166,beat,-,v./n.,打；打败；（心脏等）跳动/节拍；击鼓声,中考考纲词汇,03_饮食烹饪与健康医疗
167,beautiful,-,adj.,美丽的,中考考纲词汇,10_情感态度与性质修饰
168,beef,-,n.,牛肉,中考考纲词汇,03_饮食烹饪与健康医疗
169,beggar,-,n.,乞丐,中考考纲词汇,08_职业工作与社会科技
170,behave,-,v.,表现；运转,中考考纲词汇,09_核心行为与动作动词
171,behaviour,-,n.,行为；活动方式,中考考纲词汇,08_职业工作与社会科技
172,belief,-,n.,信念；信仰,中考考纲词汇,08_职业工作与社会科技
173,bell,-,n.,钟，铃,中考考纲词汇,05_居家生活与服装购物
174,belong,-,v.,应在（某处）；适合（某种情形）,中考考纲词汇,09_核心行为与动作动词
175,beloved,-,n./adj.,爱人/深受喜爱的,中考考纲词汇,01_个人家庭与人际交往
176,belt,-,n.,腰带，皮带；地带，地区,中考考纲词汇,03_饮食烹饪与健康医疗
177,bench,-,n.,长凳,中考考纲词汇,08_职业工作与社会科技
178,bend,-,v.,俯身；弯腰；使弯曲,中考考纲词汇,03_饮食烹饪与健康医疗
179,benefit,-,n./v.,益处/有利于；获益,中考考纲词汇,09_核心行为与动作动词
180,berry,-,n.,浆果,中考考纲词汇,08_职业工作与社会科技
181,bet,-,v./n.,下注；打赌；敢说/打赌；赌注,中考考纲词汇,09_核心行为与动作动词
182,bewilder,-,v.,使迷惑，使不知所措,中考考纲词汇,09_核心行为与动作动词
183,bible,-,n.,（基督教）圣经,中考考纲词汇,08_职业工作与社会科技
184,bibliography,-,n.,参考书目,中考考纲词汇,02_学校教育与学科学习
185,bilateral,-,adj.,双边的,中考考纲词汇,10_情感态度与性质修饰
186,billiards,-,n.,台球,中考考纲词汇,04_文体娱乐与节庆风俗
187,billion,-,num.,十亿；大量,中考考纲词汇,11_语法功能与数词介连词
188,binary,-,adj.,二进制的；二元的,中考考纲词汇,05_居家生活与服装购物
189,bind,-,v.,捆；绑,中考考纲词汇,09_核心行为与动作动词
190,biology,-,n.,生物学；生命机理,中考考纲词汇,02_学校教育与学科学习
191,biorhythm,-,n.,生物节律,中考考纲词汇,02_学校教育与学科学习
192,biscuit,-,n.,[英]饼干，[美]烤饼、小圆面包,中考考纲词汇,03_饮食烹饪与健康医疗
193,bishop,-,n.,主教,中考考纲词汇,08_职业工作与社会科技
194,bite,-,v./n.,咬；（昆虫）叮；吞饵,中考考纲词汇,07_自然生态与天气动植物
195,bitter,-,adj.,苦的；痛苦的；严寒的,中考考纲词汇,03_饮食烹饪与健康医疗
196,blame,-,v./n.,责备，指责/（对坏事应负的）责任,中考考纲词汇,09_核心行为与动作动词
197,blast,-,n./v.,爆炸/爆炸，炸毁,中考考纲词汇,09_核心行为与动作动词
198,bleed,-,v.,流血；榨取；给...放血；放掉（水或气体）,中考考纲词汇,03_饮食烹饪与健康医疗
199,blind,-,adj.,盲目的；瞎的；未察觉的,中考考纲词汇,10_情感态度与性质修饰
200,block,-,n.,街区、障碍、一块,中考考纲词汇,08_职业工作与社会科技
201,bloom,-,n.,花朵,中考考纲词汇,07_自然生态与天气动植物
202,blossom,-,v./n.,开花；花朵,中考考纲词汇,07_自然生态与天气动植物
203,blot,-,n.,污点,中考考纲词汇,08_职业工作与社会科技
204,blow,-,v./n.,吹；打击；挫折,中考考纲词汇,09_核心行为与动作动词
205,boil,-,v./n.,煮沸。沸点,中考考纲词汇,09_核心行为与动作动词
206,bolt,-,n./v.,螺栓；插销；闩上（门、窗）,中考考纲词汇,05_居家生活与服装购物
207,bomb,-,n./v.,炸弹/轰炸,中考考纲词汇,09_核心行为与动作动词
208,bone,-,n.,骨；骨骼,中考考纲词汇,03_饮食烹饪与健康医疗
209,boot,-,n.,靴子,中考考纲词汇,05_居家生活与服装购物
210,booth,-,n.,售货摊；电话亭；小隔间,中考考纲词汇,05_居家生活与服装购物
211,born,-,adj./v.,天生的；与生俱来的/[be ~]出生,中考考纲词汇,09_核心行为与动作动词
212,boss,-,n./v.,老板，上司/对...指手画脚,中考考纲词汇,03_饮食烹饪与健康医疗
213,botanist,-,n.,植物学家,中考考纲词汇,05_居家生活与服装购物
214,botany,-,n.,植物学,中考考纲词汇,07_自然生态与天气动植物
215,bough,-,n.,大树枝,中考考纲词汇,07_自然生态与天气动植物
216,bound,-,adj.,[be ~ to]一定会；很可能会；有义务,中考考纲词汇,10_情感态度与性质修饰
217,bowl,-,n.,碗,中考考纲词汇,08_职业工作与社会科技
218,boycott,-,n./v.,抵制；拒绝购买,中考考纲词汇,05_居家生活与服装购物
219,bracelet,-,n.,手镯,中考考纲词汇,03_饮食烹饪与健康医疗
220,brain,-,n.,脑；[~s]智力；智慧,中考考纲词汇,03_饮食烹饪与健康医疗
221,brainstorm,-,n./v.,集体自由讨论；头脑风暴；集思广益；进行头脑风暴,中考考纲词汇,03_饮食烹饪与健康医疗
222,brandy,-,n.,白兰地酒,中考考纲词汇,08_职业工作与社会科技
223,brickwork,-,n.,砖结构,中考考纲词汇,08_职业工作与社会科技
224,bristle,-,n.,鬃毛；短而硬的毛，刚毛,中考考纲词汇,08_职业工作与社会科技
225,britain,-,n.,英国,中考考纲词汇,08_职业工作与社会科技
226,broken,-,adj.,弄坏的；破碎的,中考考纲词汇,10_情感态度与性质修饰
227,broom,-,n./v.,扫帚；用扫帚扫,中考考纲词汇,09_核心行为与动作动词
228,brow,-,n.,额；眉毛,中考考纲词汇,03_饮食烹饪与健康医疗
229,brown,-,adj./n.,褐色的；褐色,中考考纲词汇,10_情感态度与性质修饰
230,browser,-,n.,浏览器,中考考纲词汇,08_职业工作与社会科技
231,brute,-,n.,粗野的人；残忍的人,中考考纲词汇,01_个人家庭与人际交往
232,bud,-,n.,芽；苞；蓓蕾,中考考纲词汇,08_职业工作与社会科技
233,buffalo,-,n.,水牛；野牛,中考考纲词汇,03_饮食烹饪与健康医疗
234,buffet,-,n.,自助餐,中考考纲词汇,03_饮食烹饪与健康医疗
235,build,-,v.,建造、开发,中考考纲词汇,09_核心行为与动作动词
236,bulb,-,n.,电灯泡；球茎；球茎状物,中考考纲词汇,04_文体娱乐与节庆风俗
237,bull,-,n.,公牛,中考考纲词汇,07_自然生态与天气动植物
238,burden,-,v./n.,使负担/重担；负担,中考考纲词汇,09_核心行为与动作动词
239,burgeon,-,n./v.,嫩枝；新芽/极速生长；发芽；抽枝,中考考纲词汇,09_核心行为与动作动词
240,burrow,-,n./v.,地洞，地道/掘地洞,中考考纲词汇,09_核心行为与动作动词
241,bury,-,v.,埋葬,中考考纲词汇,09_核心行为与动作动词
242,bush fire,-,n.,林区大火,中考考纲词汇,08_职业工作与社会科技
243,butter,-,n./v.,黄油/涂黄油,中考考纲词汇,03_饮食烹饪与健康医疗
244,butterfly,-,n.,蝴蝶,中考考纲词汇,07_自然生态与天气动植物
245,button,-,n./v.,纽扣；按钮；扣上...的纽扣,中考考纲词汇,09_核心行为与动作动词
246,cabbage,-,n.,洋白菜、卷心菜、甘蓝,中考考纲词汇,03_饮食烹饪与健康医疗
247,cabin,-,n.,小木屋、（船上的）小舱,中考考纲词汇,08_职业工作与社会科技
248,cabinet,-,n.,储藏柜、内阁,中考考纲词汇,08_职业工作与社会科技
249,cable,-,n.,电缆；缆绳；电报；有线电视,中考考纲词汇,05_居家生活与服装购物
250,cafeteria,-,n.,自助餐厅,中考考纲词汇,03_饮食烹饪与健康医疗
251,cage,-,n.,笼子,中考考纲词汇,08_职业工作与社会科技
252,calamity,-,n.,灾难；不幸的事,中考考纲词汇,08_职业工作与社会科技
253,calculate,-,v.,计算；考虑；打算,中考考纲词汇,09_核心行为与动作动词
254,calculus,-,n.,微积分；结实,中考考纲词汇,05_居家生活与服装购物
255,calendar,-,n.,日历；历法,中考考纲词汇,08_职业工作与社会科技
256,calf,-,n.,幼兽；小牛🐂,中考考纲词汇,07_自然生态与天气动植物
257,camel,-,n.,骆驼,中考考纲词汇,08_职业工作与社会科技
258,camera,-,n.,照相机,中考考纲词汇,04_文体娱乐与节庆风俗
259,camouflage,-,v./n.,伪装,中考考纲词汇,09_核心行为与动作动词
260,camp,-,n.,营地；阵营,中考考纲词汇,08_职业工作与社会科技
261,campaign,-,n./v.,战役；（社会、政治）运动/参加（或领导）运动,中考考纲词汇,04_文体娱乐与节庆风俗
262,can,-,v./n.,把（食品）罐装保存；罐头；听,中考考纲词汇,11_语法功能与数词介连词
263,canada,-,n.,加拿大,中考考纲词汇,08_职业工作与社会科技
264,canal,-,n.,运河；（人体内输送食物、气体等的）管,中考考纲词汇,03_饮食烹饪与健康医疗
